city_id,city,country,date,latitude,longitude,temperature,max temperature,humidity,cloudiness,wind speed
225,Cap Malheureux,MU,1609612894,-19.98,57.61,77.0,77.0,73,10,8.01
226,Kaitangata,NZ,1609612895,-46.28,169.85,60.01,60.01,94,100,1.07
227,Umluj,SA,1609612896,25.02,37.27,74.61,74.61,70,0,7.9
228,Pandan,PH,1609612897,14.05,124.17,78.91,78.91,87,100,14.76
229,Ambositra,MG,1609612899,-20.52,47.25,62.55,62.55,94,67,4.65
230,Rawson,AR,1609612901,-43.3,-65.1,88.07,88.07,17,0,0.89
231,Buluang,PH,1609612902,13.31,123.34,75.88,75.88,91,100,3.85
232,Emba,KZ,1609612904,48.83,58.14,8.64,8.64,91,98,10.83
233,Fairbanks,US,1609612651,64.84,-147.72,-12.68,-11.99,69,75,2.84
234,Kavieng,PG,1609612908,-2.57,150.8,83.05,83.05,76,56,10.49
235,Palmer,US,1609612909,42.16,-72.33,43.25,46.4,70,75,14.99
236,Merritt,CA,1609612913,50.11,-120.79,42.22,42.8,87,90,25.28
237,Sur,OM,1609612774,22.57,59.53,68.68,68.68,56,0,12.39
238,Carmelo,UY,1609612915,-33.99,-58.29,89.35,91.4,46,0,10.29
239,Itarema,BR,1609612916,-2.92,-39.92,85.1,85.1,61,0,17.76
240,Arraial do Cabo,BR,1609612793,-22.97,-42.03,76.28,77.0,88,75,6.93
241,Goderich,CA,1609612919,43.75,-81.72,35.6,35.6,80,0,3.36
242,Santa Cruz de la Sierra,BO,1609612920,-17.8,-63.17,88.48,89.6,62,75,9.17
243,Sechura,PE,1609612921,-5.56,-80.82,82.27,82.27,46,60,11.16
244,Iberia,US,1609612922,29.95,-91.75,48.47,48.99,70,90,9.17
245,Lavumisa,SZ,1609612923,-27.31,31.89,66.45,66.45,78,100,3.29
